sku,nombre_producto,categoria,precio_unitario,costo_unitario,unidad_medida,activo,campo_obsoleto_bodega_2019
SKU-00055,Juego de toallas Classic,Hogar,558.43,301.25,pieza,False,
SKU-00069,Cereal integral Pro,Alimentos,365.69,239.25,kg,False,
SKU-00118,Shampoo reparador Mini,Belleza,273.18,153.04,pieza,True,
SKU-00124,Kit de manicure Classic,Belleza,799.93,473.8,pieza,False,
SKU-00005,Audífonos inalámbricos,Electrónica,393.08,253.22,pieza,False,
SKU-00100,Botella deportiva Classic,Deportes,2098.52,1225.66,pieza,True,
SKU-00151,Set de plumas Mini,Papelería,537.13,259.29,pieza,True,
SKU-00108,Balón de fútbol,Deportes,302.5,178.78,pieza,True,
SKU-00092,Set de bloques Plus,Juguetes,-144.31,83.4,pieza,True,
SKU-00024,Vestido casual Plus,Ropa,$919.09,587.77,pieza,False,
SKU-00036,Camisa formal Pro,Ropa,817.45,516.63,pieza,True,
SKU-00017,Mouse inalámbrico Pro,Electrónica,825.2,569.45,pieza,False,
SKU-00001,Smartwatch deportivo Pro,Electrónica,1846.7,1181.59,pieza,False,
SKU-00009,Mouse inalámbrico,Electrónica,1245.05,717.39,pieza,False,
SKU-00026,Sudadera con capucha Pro,ropa,1135.1,670.92,pieza,False,
SKU-00148,Grapadora,Papelería,-549.24,253.05,pieza,True,
SKU-00011,Cable HDMI 2m,Electrónica,524.93,276.19,pieza,True,
SKU-00071,Café molido 500g Classic,Alimentos,70.09,46.75,kg,False,
SKU-00034,Vestido casual Classic,Ropa,,586.23,pieza,True,
SKU-00141,Agenda 2025 Plus,Papelería,,356.55,pieza,True,
SKU-00110,Balón de fútbol Mini (recapturado),Deportes,2723.66,1506.4,pieza,True,
SKU-00028,Pantalón deportivo Plus,Ropa,$582.80,297.74,pieza,False,
SKU-00103,Tapete de yoga,Deportes,2346.24,1329.84,pieza,True,
SKU-00019,Mouse inalámbrico,Electrónica,2357.62,1099.31,pieza,True,
SKU-00013,Audífonos inalámbricos Mini,Electrónica,2499.59,1437.67,pieza,True,
SKU-00112,Balón de fútbol Mini,Deportes,188.69,128.41,pieza,False,
SKU-00095,Kit de ciencia Classic,Juguetes,375.14,207.76,pieza,False,
SKU-00114,Cuerda para saltar Mini,deportes,1955.86,1348.24,pieza,False,
SKU-00056,Lámpara de mesa,Hogar,776.65,411.74,pieza,False,
SKU-00067,Té orgánico caja,Alimentos,$202.28,103.32,pieza,True,
SKU-00111,Botella deportiva,Deportes,-1997.55,1164.17,pieza,True,
SKU-00122,Set de brochas Mini,Belleza,214.59,98.18,pieza,True,
SKU-00020, Chaleco acolchado ,Ropa,$854.55,503.63,pieza,False,
SKU-00145,Calculadora científica,PAPELERÍA,$436.73,252.98,pieza,True,
SKU-00057,Tapete decorativo Pro,Hogar,1213.88,748.87,pieza,True,
SKU-00127,Set de brochas Pro, Belleza ,706.58,493.78,pieza,True,
SKU-00033,Playera de algodón,Ropa,1173.72,720.78,pieza,True,
SKU-00080,Peluche grande,Juguetes,866.49,442.37,pieza,True,
SKU-00060,Té orgánico caja Mini,Alimentos,424.07,261.78,kg,True,
SKU-00020, Chaleco acolchado  (recapturado),Ropa,908.24,503.63,pieza,False,
SKU-00010,Mouse inalámbrico,Electrónica,695.62,321.63,pieza,True,
SKU-00025,Vestido casual,Ropa,,405.06,pieza,True,
SKU-00146,Agenda 2025 Classic,Papelería,$374.28,235.0,pieza,True,
SKU-00064,Miel orgánica Classic,Alimentos,121.5,75.79,kg,True,
SKU-00109,Cuerda para saltar Plus,Deportes,1717.68,784.07,pieza,True,
SKU-00045,Cortina blackout,Hogar,1109.59,715.6,pieza,True,
SKU-00121,Perfume 100ml Mini,Belleza,316.76,148.32,pieza,False,
SKU-00068,Café molido 500g Mini,Alimentos,299.53,177.19,pieza,True,
SKU-00104,Guantes de box,Deportes,239.89,151.01,pieza,True,
SKU-00096,Cuerda para saltar Mini,Deportes,1425.86,682.86,pieza,True,
SKU-00097,Guantes de box Plus,Deportes,1912.99,1237.9,pieza,True,
SKU-00014,Smartwatch deportivo Classic,Electrónica,257.08,144.1,pieza,True,
SKU-00030,Chamarra impermeable Classic,Ropa,864.22,569.23,pieza,False,
SKU-00054,Set de sábanas,Hogar,433.04,252.65,pieza,True,
SKU-00047,Juego de toallas,Hogar,1260.5,778.09,pieza,True,
SKU-00149,Grapadora Classic,Papelería,59.11,35.23,pieza,True,
SKU-00040,Cortina blackout Plus,Hogar,678.75,383.92,pieza,True,
SKU-00077,Kit de ciencia Classic,JUGUETES,1435.73,905.08,pieza,True,
SKU-00106,Botella deportiva,Deportes,655.36,414.31,pieza,True,
SKU-00016,Audífonos inalámbricos Pro,Electrónica,684.47,449.02,pieza,False,
SKU-00125,Protector solar (recapturado),BELLEZA,,287.87,pieza,True,
SKU-00027,Vestido casual (recapturado),Ropa,713.23,390.48,pieza,False,
SKU-00072,Snack proteico Plus,,425.58,208.59,kg,True,
SKU-00123,Shampoo reparador,Belleza,424.65,222.49,pieza,True,
SKU-00052,Juego de toallas Pro,Hogar,901.64,516.14,pieza,False,
SKU-00140,Calculadora científica Classic,,170.64,82.84,pieza,True,
SKU-00088,Pista de autos Plus,Juguetes,1332.14,845.2,pieza,True,
SKU-00135,Agenda 2025,Papelería,391.95,266.27,pieza,False,
SKU-00038,Playera de algodón Plus,Ropa,615.71,295.9,pieza,True,
SKU-00116,Crema hidratante,Belleza,341.42,201.35,pieza,False,
SKU-00015,Mouse inalámbrico Pro,Electrónica,877.74,445.6,pieza,True,
SKU-00018,Smartwatch deportivo Pro,Electrónica,851.73,487.84,pieza,True,
SKU-00075,Aceite de oliva 1L Plus,Alimentos,221.34,128.01,pieza,True,
SKU-00084,Set de bloques Plus,Juguetes,941.44,494.79,pieza,True,
SKU-00147,Folder tamaño carta,Papelería,279.65,176.53,pieza,True,
SKU-00107,Botella deportiva Classic (recapturado),Deportes,1118.52,549.06,pieza,False,
SKU-00091,Set de bloques,Juguetes,848.27,427.83,pieza,True,
SKU-00044,Set de ollas Classic,Hogar,1578.77,787.87,pieza,True,
SKU-00128,Kit de manicure Plus,Belleza,525.44,306.46,pieza,True,
SKU-00012,Power bank 10000mAh Classic,Electrónica,652.15,301.5,pieza,True,
SKU-00113,Bicicleta rodante,Deportes,2218.44,1421.25,pieza,True,
SKU-00023,Chamarra impermeable Plus,Ropa,325.67,200.22,pieza,True,
SKU-00074,Salsa picante Mini,,432.82,196.64,pieza,True,
SKU-00058,Snack proteico Mini, Alimentos ,144.19,94.72,pieza,True,
SKU-00006,Mouse inalámbrico Classic,Electrónica,1749.46,1044.09,pieza,False,
SKU-00003,Cable HDMI 2m, Electrónica ,2960.68,1472.75,pieza,True,
SKU-00117,Esmalte de uñas Classic,belleza,765.34,487.97,pieza,False,
SKU-00105,Banda de resistencia Mini,Deportes,1655.53,770.67,pieza,True,
SKU-00099,Balón de fútbol Pro,Deportes,1922.77,1016.26,pieza,True,
SKU-00139,Calculadora científica,,164.76,104.61,pieza,True,
SKU-00093,Juego de mesa familiar Classic,Juguetes,478.65,304.85,pieza,True,
SKU-00012,Power bank 10000mAh Classic (recapturado),Electrónica,680.84,301.5,pieza,True,
SKU-00107,Botella deportiva Classic,Deportes,963.87,549.06,pieza,False,
SKU-00142, Cuaderno profesional Pro ,papelería,503.08,297.96,pieza,True,
SKU-00061,Snack proteico,Alimentos,422.54,196.23,pieza,True,
SKU-00138,Agenda 2025,Papelería,455.33,226.83,pieza,True,
SKU-00037,Sudadera con capucha Pro,Ropa,977.99,495.34,pieza,True,
SKU-00051,Tapete decorativo Classic, Hogar ,558.44,266.57,pieza,True,
SKU-00110,Balón de fútbol Mini,Deportes,2341.06,1506.4,pieza,True,
SKU-00048,Juego de toallas,HOGAR,527.44,250.12,pieza,True,
SKU-00049,Organizador plástico,Hogar,1514.52,1042.8,pieza,True,
SKU-00002,Audífonos inalámbricos,Electrónica,2894.31,1393.66,pieza,True,
SKU-00132,Crema hidratante, Belleza ,,503.01,pieza,True,
SKU-00046,Lámpara de mesa,HOGAR,1127.69,544.43,pieza,True,
SKU-00085,Set de bloques Plus,Juguetes,487.26,250.95,pieza,False,
SKU-00150,Marcadores de colores,Papelería,518.95,282.83,pieza,True,
SKU-00089,Dron mini,Juguetes,1287.19,664.65,pieza,True,
SKU-00004, Teclado mecánico ,Electrónica,496.01,298.71,pieza,True,
SKU-00130,Kit de manicure,Belleza,432.8,228.56,pieza,True,
SKU-00090,Kit de ciencia,Juguetes,"$1,405.82",865.9,pieza,True,
SKU-00085,Set de bloques Plus (recapturado),Juguetes,430.21,250.95,pieza,False,
SKU-00137, Folder tamaño carta ,Papelería,542.81,365.6,pieza,True,
SKU-00152,Calculadora científica Pro, Papelería ,540.8,282.7,pieza,True,
SKU-00119,Shampoo reparador Mini,Belleza,840.54,474.08,pieza,True,
SKU-00062,Aceite de oliva 1L,,,198.03,pieza,True,
SKU-00144,Cuaderno profesional Classic,Papelería,104.9,61.21,pieza,True,
SKU-00063,Té orgánico caja,Alimentos,298.87,188.05,kg,False,
SKU-00133,Crema hidratante,Belleza,218.17,106.19,pieza,True,
