sku,nombre_producto,categoria,subcategoria,precio_unitario,costo_unitario,unidad_medida,activo,campo_obsoleto_bodega_2019
SKU-00064,Miel orgánica Classic,Alimentos,Despensa,121.5,75.79,kg,True,
SKU-00109,Cuerda para saltar Plus,Deportes,Fitness,1717.68,784.07,pieza,True,
SKU-00045,Cortina blackout,Hogar,Textil de hogar,1109.59,715.6,pieza,True,
SKU-00121,Perfume 100ml Mini,Belleza,Fragancias,316.76,148.32,pieza,False,
SKU-00068,Café molido 500g Mini,Alimentos,Bebidas,299.53,177.19,pieza,True,
SKU-00104,Guantes de box,Deportes,Fitness,239.89,151.01,pieza,True,
SKU-00096,Cuerda para saltar Mini,Deportes,Fitness,1425.86,682.86,pieza,True,
SKU-00097,Guantes de box Plus,Deportes,Fitness,1912.99,1237.9,pieza,True,
SKU-00014,Smartwatch deportivo Classic,Electrónica,Wearables,257.08,144.1,pieza,True,
SKU-00030,Chamarra impermeable Classic,Ropa,Prendas de abrigo,864.22,569.23,pieza,False,
SKU-00054,Set de sábanas,Hogar,Textil de hogar,433.04,252.65,pieza,True,
SKU-00047,Juego de toallas,Hogar,Textil de hogar,1260.5,778.09,pieza,True,
SKU-00149,Grapadora Classic,Papelería,Oficina,59.11,35.23,pieza,True,
SKU-00040,Cortina blackout Plus,Hogar,Textil de hogar,678.75,383.92,pieza,True,
SKU-00077,Kit de ciencia Classic,JUGUETES,Construcción y ciencia,1435.73,905.08,pieza,True,
SKU-00106,Botella deportiva,Deportes,Accesorios deportivos,655.36,414.31,pieza,True,
SKU-00016,Audífonos inalámbricos Pro,Electrónica,Audio,684.47,449.02,pieza,False,
SKU-00125,Protector solar (recapturado),BELLEZA,Cuidado de la piel,,287.87,pieza,True,
SKU-00027,Vestido casual (recapturado),Ropa,Ropa casual,713.23,390.48,pieza,False,
SKU-00072,Snack proteico Plus,,Botanas,425.58,208.59,kg,True,
SKU-00123,Shampoo reparador,Belleza,Cuidado del cabello,424.65,222.49,pieza,True,
SKU-00052,Juego de toallas Pro,Hogar,Textil de hogar,901.64,516.14,pieza,False,
SKU-00140,Calculadora científica Classic,,Oficina,170.64,82.84,pieza,True,
SKU-00088,Pista de autos Plus,Juguetes,Construcción y ciencia,1332.14,845.2,pieza,True,
SKU-00135,Agenda 2025,Papelería,Cuadernos y agendas,391.95,266.27,pieza,False,
SKU-00038,Playera de algodón Plus,Ropa,Ropa casual,615.71,295.9,pieza,True,
SKU-00116,Crema hidratante,Belleza,Cuidado de la piel,341.42,201.35,pieza,False,
SKU-00015,Mouse inalámbrico Pro,Electrónica,Cómputo,877.74,445.6,pieza,True,
SKU-00018,Smartwatch deportivo Pro,Electrónica,Wearables,851.73,487.84,pieza,True,
SKU-00075,Aceite de oliva 1L Plus,Alimentos,Despensa,221.34,128.01,pieza,True,
SKU-00084,Set de bloques Plus,Juguetes,Construcción y ciencia,941.44,494.79,pieza,True,
SKU-00147,Folder tamaño carta,Papelería,Oficina,279.65,176.53,pieza,True,
SKU-00107,Botella deportiva Classic (recapturado),Deportes,Accesorios deportivos,1118.52,549.06,pieza,False,
SKU-00091,Set de bloques,Juguetes,Construcción y ciencia,848.27,427.83,pieza,True,
SKU-00044,Set de ollas Classic,Hogar,Cocina,1578.77,787.87,pieza,True,
SKU-00128,Kit de manicure Plus,Belleza,Maquillaje y uñas,525.44,306.46,pieza,True,
SKU-00012,Power bank 10000mAh Classic,Electrónica,Accesorios electrónicos,652.15,301.5,pieza,True,
SKU-00113,Bicicleta rodante,Deportes,Ciclismo,2218.44,1421.25,pieza,True,
SKU-00023,Chamarra impermeable Plus,Ropa,Prendas de abrigo,325.67,200.22,pieza,True,
SKU-00074,Salsa picante Mini,,Despensa,432.82,196.64,pieza,True,
SKU-00058,Snack proteico Mini, Alimentos ,Botanas,144.19,94.72,pieza,True,
SKU-00006,Mouse inalámbrico Classic,Electrónica,Cómputo,1749.46,1044.09,pieza,False,
SKU-00003,Cable HDMI 2m, Electrónica ,Accesorios electrónicos,2960.68,1472.75,pieza,True,
SKU-00117,Esmalte de uñas Classic,belleza,Maquillaje y uñas,765.34,487.97,pieza,False,
SKU-00105,Banda de resistencia Mini,Deportes,Fitness,1655.53,770.67,pieza,True,
SKU-00099,Balón de fútbol Pro,Deportes,Deportes de equipo,1922.77,1016.26,pieza,True,
SKU-00139,Calculadora científica,,Oficina,164.76,104.61,pieza,True,
SKU-00093,Juego de mesa familiar Classic,Juguetes,Juegos de mesa,478.65,304.85,pieza,True,
SKU-00012,Power bank 10000mAh Classic (recapturado),Electrónica,Accesorios electrónicos,680.84,301.5,pieza,True,
SKU-00107,Botella deportiva Classic,Deportes,Accesorios deportivos,963.87,549.06,pieza,False,
SKU-00142, Cuaderno profesional Pro ,papelería,Cuadernos y agendas,503.08,297.96,pieza,True,
SKU-00061,Snack proteico,Alimentos,Botanas,422.54,196.23,pieza,True,
SKU-00138,Agenda 2025,Papelería,Cuadernos y agendas,455.33,226.83,pieza,True,
SKU-00037,Sudadera con capucha Pro,Ropa,Prendas de abrigo,977.99,495.34,pieza,True,
SKU-00051,Tapete decorativo Classic, Hogar ,Textil de hogar,558.44,266.57,pieza,True,
SKU-00110,Balón de fútbol Mini,Deportes,Deportes de equipo,2341.06,1506.4,pieza,True,
SKU-00048,Juego de toallas,HOGAR,Textil de hogar,527.44,250.12,pieza,True,
SKU-00049,Organizador plástico,Hogar,Iluminación y organización,1514.52,1042.8,pieza,True,
SKU-00002,Audífonos inalámbricos,Electrónica,Audio,2894.31,1393.66,pieza,True,
SKU-00132,Crema hidratante, Belleza ,Cuidado de la piel,,503.01,pieza,True,
SKU-00046,Lámpara de mesa,HOGAR,Iluminación y organización,1127.69,544.43,pieza,True,
SKU-00085,Set de bloques Plus,Juguetes,Construcción y ciencia,487.26,250.95,pieza,False,
SKU-00150,Marcadores de colores,Papelería,Escritura,518.95,282.83,pieza,True,
SKU-00089,Dron mini,Juguetes,Juguetes electrónicos,1287.19,664.65,pieza,True,
SKU-00004, Teclado mecánico ,Electrónica,Cómputo,496.01,298.71,pieza,True,
SKU-00130,Kit de manicure,Belleza,Maquillaje y uñas,432.8,228.56,pieza,True,
SKU-00090,Kit de ciencia,Juguetes,Construcción y ciencia,"$1,405.82",865.9,pieza,True,
SKU-00085,Set de bloques Plus (recapturado),Juguetes,Construcción y ciencia,430.21,250.95,pieza,False,
SKU-00137, Folder tamaño carta ,Papelería,Oficina,542.81,365.6,pieza,True,
SKU-00152,Calculadora científica Pro, Papelería ,Oficina,540.8,282.7,pieza,True,
SKU-00119,Shampoo reparador Mini,Belleza,Cuidado del cabello,840.54,474.08,pieza,True,
SKU-00062,Aceite de oliva 1L,,Despensa,,198.03,pieza,True,
SKU-00144,Cuaderno profesional Classic,Papelería,Cuadernos y agendas,104.9,61.21,pieza,True,
SKU-00063,Té orgánico caja,Alimentos,Bebidas,298.87,188.05,kg,False,
SKU-00133,Crema hidratante,Belleza,Cuidado de la piel,218.17,106.19,pieza,True,
