id,area,nombre,definicion,como_se_calcula,unidad,donde_se_calcula,modelos,reportes_gold,dashboards,advertencia
ingreso_ejecutivo,ventas,Ingreso mensual del reporte ejecutivo,"El ingreso del mes cortado por región, cliente, perfil de cliente, categoría y subcategoría, para comparar contra el mes anterior y contra el mismo mes del año pasado.","Suma del importe neto de todos los canales de pedido, solo de meses completos (un mes a medias parecería una caída).",MXN,warehouse,fct_pedido|dim_cliente|dim_region|dim_producto,rpt_transacciones_ejecutivo,10,"«Perfil» es el segmento comercial del cliente (Básico / Estándar / Premium), no un perfil de comportamiento de compra. No incluye ventas de sucursal."
ventas_sucursal,sucursales,Ventas de sucursal (fuente única),"Lo que vendió cada sucursal (CDMX, Guadalajara, Monterrey) sumando sus tres exports, con nombres de sucursal normalizados y sin duplicados exactos.","Se unen los tres archivos, se homologa el nombre de la sucursal, se marcan los duplicados exactos y se descartan al reportar.",MXN,warehouse,fct_venta_sucursal|int_ventas_sucursal_unificada|dim_sucursal,rpt_fuente_unica,11,Las filas sin monto no se suman ni se imputan: van a la cola de revisión manual.
pendientes_sucursal,sucursales,Filas de sucursal pendientes de revisión,Ventas de sucursal que llegaron sin importe y que una persona debe revisar. Nunca se les inventa un valor.,Conteo de filas de sucursal con monto vacío.,filas,warehouse,fct_venta_sucursal_pendiente_revision|int_ventas_sucursal_pendiente,rpt_revision_manual_monto_faltante,11,
etapas_funnel,ventas,Volumen por etapa del funnel,"Cuántas oportunidades comerciales pasaron por cada etapa (lead, contactado, calificado, propuesta, cierre) en cada semana completa.","Conteo de cambios de etapa registrados en la bitácora del pipeline, por semana ISO y etapa.",eventos,warehouse,fct_oportunidad_evento,rpt_funnel_semanal,02,"Cuenta eventos de cambio de etapa, no oportunidades únicas."
conversion_funnel,ventas,Tasa de conversión del funnel,Qué parte de las oportunidades avanza de una etapa a la siguiente. La que más vigila el dashboard es calificado → propuesta; caer por debajo de 40% activa la alerta de fuga.,Etapa siguiente ÷ etapa anterior × 100. La conversión total es cierres ÷ leads × 100.,%,dashboard,fct_oportunidad_evento,rpt_funnel_semanal,02,
cumplimiento_kpi,scorecard,Cumplimiento de KPI,"Qué tan cerca está un indicador de su meta en el último mes completo, en una escala común para poder comparar indicadores distintos.","Resultado ÷ meta × 100; si el indicador es de los que «menos es mejor» (p. ej. rotación), meta ÷ resultado × 100. Semáforo: en meta desde 100%, cerca de meta desde 90%, en riesgo por debajo.",%,dashboard,dim_kpi|fct_kpi_meta,rpt_scorecard|rpt_kpi_historico,03,
categoria_nps,cliente,Promotor / Pasivo / Detractor,La clasificación de cada respuesta de la encuesta de recomendación según la calificación que dio el cliente. Los detractores además explican su motivo.,"Calificación 9–10 = Promotor, 7–8 = Pasivo, 0–6 = Detractor. La categoría no se captura: se deriva de la calificación.",categoría,warehouse,fct_encuesta_nps,rpt_encuestas_nps,12,
churn_historico,cliente,Cliente dado de baja (churn histórico),Si un cliente ya canceló su contrato o plan. Es lo que el modelo del dashboard intenta anticipar.,1 si el cliente tiene fecha de cancelación registrada; 0 si sigue activo. Un cliente cancela como máximo una vez.,sí/no,warehouse,fct_cliente_features_churn|fct_cancelacion,rpt_clientes_churn,04,
senales_churn,cliente,Señales de riesgo de churn,"Las características de cada cliente que sugieren si está por irse: cuánto tiempo lleva, cuánto gasta al mes, cuántos tickets de soporte abrió, hace cuántos días no usa el producto y su nivel de uso.","Antigüedad en meses; gasto mensual del plan; tickets de soporte de los últimos 90 días; días desde la última actividad; usage score = puntos de uso de 90 días sobre 30, con tope de 100. Todo medido a la fecha de corte del cliente (su baja, o hoy si sigue activo).",varias,warehouse,fct_cliente_features_churn,rpt_clientes_churn,04,
riesgo_churn,cliente,Riesgo de churn,"Qué tan probable es que un cliente se vaya, para decidir a quién atender primero. Sirve para ordenar clientes, no para leerlo como «% de que se vaya».","El dashboard 04 entrena su propio modelo sobre las señales del gold. El warehouse trae además un proxy por reglas: promedia tres percentiles (uso bajo, inactividad alta, tickets altos) y lo transforma a una escala 0–1.",0–1 / percentil,both,fct_cliente_churn_score|fct_cliente_features_churn,rpt_clientes_churn,04,"Hay dos «riesgos de churn» distintos (el del dashboard y el proxy del warehouse); ninguno es una probabilidad calibrada del warehouse. Antes de citar un número, decir cuál."
rfm,cliente,"Recencia, frecuencia y monto (RFM)","Tres números por cliente en los últimos 12 meses: hace cuántos días compró por última vez, cuántos pedidos hizo y cuánto sumó en compras.",Recencia = días desde el último pedido; frecuencia = pedidos distintos; monto = suma del importe neto. Solo entran clientes con al menos un pedido en la ventana.,días / pedidos / MXN,both,fct_cliente_rfm_score|fct_pedido,rpt_transacciones,05,
segmento_rfm,cliente,Segmento RFM,"El grupo de acción al que pertenece cada cliente: Campeones (compraron hace poco y valen mucho), Nuevos (compraron hace poco, valen poco), En riesgo (llevan tiempo sin comprar pero valían mucho) e Hibernando (sin comprar y de poco valor).",Cuadrante recencia × valor; el corte de cada eje es la mediana de todos los clientes.,segmento,both,fct_cliente_rfm_score,rpt_transacciones,05,El dashboard 05 llama «Nuevos / Prometedores» al cuadrante que el warehouse llama «Nuevos».
monto_facturado,finanzas,Monto facturado,El importe de cada factura emitida que pasó la validación de calidad del warehouse.,"cantidad × precio unitario, recalculado (no el total capturado en origen). Las líneas con cliente o producto inexistente, fechas ilegibles o duplicadas se rechazan y no entran.",MXN,warehouse,fct_factura|int_factura_linea_validada,rpt_facturas,08,"La columna se llama monto_mxn, pero ~12% de las líneas de origen vienen marcadas en USD y se suman sin convertir. Es una decisión de alcance pendiente, no un tipo de cambio aplicado."
estatus_factura,finanzas,Estatus de factura (Pagada / Pendiente),Si una factura ya se cobró completa o sigue pendiente. Una factura pagada en parcialidades no cuenta como cobrada hasta que el último abono la cubre.,"Pagada si lo pagado cubre el total (tolerancia de $1); Pendiente en cualquier otro caso, esté vencida o no. La fecha de pago es la del último abono.",estatus,warehouse,fct_pago|fct_factura,rpt_facturas,08,
cartera_vencida,finanzas,Cartera vencida y antigüedad,"El dinero facturado que ya debió cobrarse y no se ha cobrado, agrupado por cuánto tiempo lleva vencido.","Suma de facturas Pendientes con fecha de vencimiento pasada, en tramos: 1–30, 31–60, 61–90 y más de 90 días. Las no vencidas se muestran como Vigente.",MXN,dashboard,fct_factura|fct_pago,rpt_facturas,08,El warehouse no tiene un estatus «Vencida»: la antigüedad se calcula en el dashboard contra su fecha de corte.
dias_pago_cliente,finanzas,Días promedio de pago por cliente,"Cuántos días tarda un cliente, en promedio, en pagar una factura. Clasifica al cliente por su riesgo de cobranza.","Días entre la emisión y el ÚLTIMO pago de cada factura, promediados por cliente. Puntual hasta 20 días, Lento hasta 70, Moroso por encima.",días,both,fct_cliente_pago_segmento,rpt_facturas,08,"El warehouse lo llama dso_promedio_dias, pero no es el DSO del dashboard 08 (ver la métrica siguiente). Solo entran clientes con al menos un pago."
dso_cartera,finanzas,DSO de la cartera,Cuántos días de ventas facturadas representa hoy la cartera pendiente de cobro.,Cartera pendiente ÷ ventas facturadas en los últimos 90 días × 90. Es una versión simplificada del DSO clásico.,días,dashboard,fct_factura|fct_pago,rpt_facturas,08,"Mismo acrónimo, otra fórmula que «Días promedio de pago por cliente». Al citar «DSO», decir cuál."
gasto_marketing,marketing,Gasto de marketing por canal,Lo que se invirtió en cada canal de pauta cada mes.,"Suma del gasto diario de pauta por canal y mes, solo meses completos. Los canales sin inversión (Orgánico) no aparecen.",MXN,warehouse,fct_marketing_gasto|int_canal_mes_metricas,rpt_marketing_canales,09,
clientes_nuevos_canal,marketing,Clientes nuevos por canal,Cuántos clientes se dieron de alta en el mes y por qué canal llegaron.,Conteo de clientes por su fecha de alta y el canal de adquisición que registra el CRM (no el de la plataforma de anuncios).,clientes,warehouse,int_canal_mes_metricas|dim_cliente,rpt_marketing_canales,09,
ticket_promedio,marketing,Ticket promedio,Cuánto compra en promedio un cliente de un canal en un pedido.,Promedio del monto de un pedido completo (todas sus líneas) de los clientes captados por ese canal.,MXN,warehouse,int_canal_mes_metricas,rpt_marketing_canales,09,
margen_bruto_pedido,marketing,Margen bruto por pedido,Qué parte de lo vendido en un pedido queda después de restar el costo de los productos.,"(Monto del pedido − costo del pedido) ÷ monto del pedido, promediado sobre los pedidos del canal en el mes.",%,warehouse,int_canal_mes_metricas,rpt_marketing_canales,09,No es el «margen %» de producto del reporte de inventario (precio de lista vs. costo): ese ignora descuentos y volumen.
meses_retencion,marketing,Meses de retención,"Cuánto tiempo, en promedio, se queda un cliente de este canal.","Antigüedad promedio de los clientes del canal al inicio de cada mes, o hasta su baja si ya cancelaron.",meses,warehouse,int_canal_mes_metricas|fct_cancelacion,rpt_marketing_canales,09,
cac,marketing,Costo de adquisición de cliente (CAC),"Cuánto cuesta, en publicidad, conseguir un cliente nuevo por un canal.",Gasto del canal en el mes ÷ clientes nuevos del canal en el mes.,MXN,both,fct_canal_roi|int_canal_mes_metricas,rpt_marketing_canales,09,No está definido en un mes sin clientes nuevos: en ese caso no hay fila en el warehouse y el gold trae clientes_nuevos = 0.
ltv,marketing,Valor de vida del cliente (LTV),"Cuánto margen deja, en promedio, un cliente de un canal durante el tiempo que se queda.",Ticket promedio × margen bruto × meses de retención promedio.,MXN,both,fct_canal_roi|int_canal_mes_metricas,rpt_marketing_canales,09,"Supone un ticket por mes; es una aproximación, no un LTV observado ni descontado."
ratio_ltv_cac,marketing,Razón LTV:CAC y payback,Si un canal se paga a sí mismo: cuántas veces recupera lo que cuesta captar al cliente y en cuántos meses. La referencia sana es 3:1.,LTV ÷ CAC. Payback (meses) = CAC ÷ (ticket promedio × margen bruto). El cuadrante de acción cruza el gasto (mediana) con la razón LTV:CAC (3.0).,x,both,fct_canal_roi,rpt_marketing_canales,09,
demanda_diaria,inventario,Demanda diaria,"Cuántas unidades de cada producto se vendieron cada día, incluyendo los días sin venta.","Suma de unidades por SKU y día; los días sin venta cuentan como cero (si no, la demanda de productos de baja rotación se sobreestima).",unidades,warehouse,fct_pedido,rpt_demanda_diaria,07,
forecast_demanda,inventario,Pronóstico de demanda a 28 días,Cuántas unidades de un producto se espera vender en las próximas cuatro semanas.,"Venta diaria promedio de los últimos 14 días × un índice de estacionalidad por día de la semana (últimos 91 días), sumado a 28 días. Se valida con un backtest a 28 días (error absoluto y porcentual).",unidades,both,fct_producto_forecast,rpt_demanda_diaria,07,El dashboard 07 recalcula su propio pronóstico sobre la demanda diaria; el del warehouse es la referencia para conciliar.
dias_cobertura,inventario,Días de cobertura de inventario,Cuántos días alcanza el inventario actual de un producto al ritmo de venta reciente.,Stock actual ÷ venta diaria promedio de los últimos 14 días. Tope de 999 días cuando no hay ventas recientes.,días,warehouse,fct_producto_forecast|fct_inventario_snapshot,rpt_inventario_actual,07,
riesgo_quiebre,inventario,Riesgo de quiebre de stock,Si un producto se va a agotar antes de que llegue su reposición.,En riesgo si el stock actual es menor que el punto de reorden = demanda esperada durante el lead time del proveedor + colchón de seguridad (95% de nivel de servicio × desviación diaria × √lead time).,sí/no,both,fct_producto_forecast|fct_inventario_snapshot,rpt_inventario_actual,07,
cobertura_inventario,inventario,Cobertura del inventario (valor),"Si una categoría tiene demasiado o muy poco inventario frente a lo que necesita: Understock por debajo de 1×, Overstock por encima de 3×, Sano entre ambos.","Inventario actual a costo ÷ (stock de ciclo del lead time + stock de seguridad), por categoría.",x,dashboard,fct_inventario_snapshot|fct_producto_forecast,rpt_inventario_actual,07,
margen_producto,inventario,Margen de producto,Qué porcentaje del precio de lista de un producto es ganancia sobre su costo.,(Precio unitario − costo unitario) ÷ precio unitario × 100.,%,warehouse,dim_producto,rpt_inventario_actual,07,"Usa precio de lista, no el precio realmente cobrado; difiere del «margen bruto por pedido» de marketing."
elasticidad,ventas,Elasticidad precio-demanda,Cuánto cae (o sube) la venta de un producto cuando cambia su precio. −2 significa que subir el precio 1% baja las unidades vendidas cerca de 2%.,"Pendiente de una regresión log-log de unidades contra precio, sobre la serie semanal del producto. Solo productos con al menos 10 semanas con ventas; la confianza se mide con R².",coeficiente,both,fct_producto_elasticidad,rpt_precio_demanda,06,"Mide correlación histórica entre precio y unidades, no un experimento de precios."
impacto_10pct,ventas,Impacto de subir 10% el precio,"Cuánto cambiaría el ingreso anual de un producto si su precio sube 10%, dada su elasticidad.",Ingreso anual actual × (1.10^(1 + elasticidad) − 1).,MXN,warehouse,fct_producto_elasticidad,rpt_precio_demanda,06,
score_calidad,calidad,Score de calidad de datos,"Una nota de 0 a 100 de qué tan confiable es una tabla, para poder comparar y seguir la mejora en el tiempo.","100 − la suma del impacto de las reglas de esa tabla. Sano desde 90, Atención desde 75, En riesgo desde 60, Crítico por debajo.",0–100,warehouse,dq_scorecard_tabla|dq_resultado_regla,rpt_scorecard_calidad_tablas,13,
impacto_regla,calidad,Impacto de una regla de calidad,"Cuántos puntos le quita al score de una tabla un problema de datos, según qué tan grave es y qué porcentaje de filas afecta.","Peso de la severidad (crítica 65, alta 40, media 20, baja 9, informativa 0) × porcentaje de filas que incumplen la regla.",puntos,warehouse,dq_regla|dq_resultado_regla,rpt_reglas_validacion,13,
plan_remediacion,calidad,Prioridad de remediación,El orden en que conviene corregir los problemas de datos: primero los que más puntos le quitan al score.,"Hallazgos ordenados por impacto descendente, con la acción recomendada por tipo de regla; al final, los campos huérfanos (limpieza de esquema, sin puntos).",prioridad,warehouse,dq_plan_remediacion,rpt_plan_remediacion,13,
